SEQN,RIDAGEYR,FIAINTRP,RIDAGEMN,WTMEC2YR,SIAINTRP,DMDHHSIZ,AIALANG,RIDAGEEX,DMDCITZN,DMDHRGND,DMDHRMAR,INDHHINC,RIDEXPRG,DMDEDUC2,DMDHREDU,FIALANG,RIDEXMON,DMQMILIT,DMDMARTL,SDDSRVYR,SDMVSTRA,MIALANG,SDMVPSU,INDFMPIR,SIALANG,MIAINTRP,WTINT2YR,DMDEDUC3,DMDBORN,RIAGENDR,DMDHRBRN,INDFMINC,DMDHRAGE,DMDSCHOL,RIDRETH1,DMDHSEDU,FIAPROXY,MIAPROXY,DMDYRSUS,RIDSTATR,SIAPROXY,SourceYear
21022.0,2.0,2.0,32.0,6329.695879,2.0,7.0,,32.0,1.0,1.0,1.0,7.0,,,2.0,1.0,1.0,,,3.0,39.0,,1.0,0.88,2.0,,6359.286688,,1.0,2.0,2.0,4.0,32.0,,1.0,2.0,2.0,,,2.0,1.0,2003
21023.0,19.0,2.0,239.0,6114.81978760352,2.0,5.0,1.0,241.0,1.0,2.0,1.0,4.0,2.0,,1.0,1.0,1.0,2.0,5.0,3.0,35.0,1.0,1.0,0.0,1.0,2.0,5709.033187613105,11.0,1.0,2.0,3.0,1.0,48.0,3.0,4.0,2.0,2.0,2.0,,2.0,2.0,2003
21024.0,14.0,2.0,178.0,40061.771963,2.0,3.0,1.0,179.0,1.0,2.0,3.0,9.0,,,5.0,1.0,2.0,,5.0,3.0,33.0,1.0,2.0,3.51,1.0,2.0,38125.946404,7.0,1.0,1.0,1.0,9.0,43.0,1.0,3.0,,2.0,2.0,,2.0,1.0,2003
21025.0,18.0,2.0,217.0,13772.570375,2.0,7.0,1.0,218.0,1.0,1.0,1.0,6.0,2.0,,,2.0,1.0,2.0,5.0,3.0,43.0,1.0,2.0,1.13,1.0,2.0,13493.830616,11.0,3.0,2.0,,6.0,38.0,1.0,2.0,4.0,2.0,2.0,5.0,2.0,2.0,2003
21026.0,16.0,2.0,195.0,5924.548413268663,2.0,4.0,1.0,196.0,1.0,2.0,1.0,7.0,,,3.0,1.0,1.0,,5.0,3.0,37.0,1.0,1.0,2.17,1.0,2.0,5816.415222038601,9.0,1.0,1.0,1.0,7.0,32.0,1.0,4.0,3.0,2.0,2.0,,2.0,2.0,2003
21027.0,8.0,2.0,106.0,12089.977821,2.0,7.0,,106.0,1.0,2.0,1.0,4.0,,,2.0,1.0,2.0,,,3.0,34.0,,2.0,0.53,1.0,,12132.218215,2.0,1.0,1.0,1.0,4.0,42.0,1.0,4.0,2.0,2.0,,,2.0,1.0,2003
21028.0,0.0,2.0,1.0,5335.752127,2.0,5.0,,2.0,1.0,1.0,,6.0,,,3.0,1.0,1.0,,,3.0,37.0,,1.0,0.87,1.0,,5335.752127,,1.0,2.0,1.0,4.0,27.0,,4.0,,2.0,,,2.0,1.0,2003
21029.0,40.0,2.0,488.0,100099.630952,2.0,1.0,1.0,489.0,1.0,1.0,5.0,11.0,,5.0,5.0,1.0,2.0,2.0,5.0,3.0,33.0,1.0,2.0,5.0,1.0,2.0,93162.431486,,1.0,1.0,1.0,11.0,40.0,,3.0,,2.0,2.0,,2.0,2.0,2003
21030.0,30.0,2.0,361.0,0.0,2.0,5.0,,,1.0,1.0,1.0,8.0,3.0,2.0,3.0,1.0,,2.0,1.0,3.0,39.0,,1.0,2.51,1.0,,93183.312808,,1.0,2.0,2.0,8.0,35.0,,3.0,2.0,2.0,,,1.0,2.0,2003
21031.0,37.0,2.0,444.0,85621.334312,2.0,4.0,,445.0,1.0,2.0,1.0,11.0,2.0,5.0,5.0,1.0,2.0,2.0,1.0,3.0,29.0,1.0,1.0,5.0,1.0,2.0,82275.985846,,1.0,2.0,1.0,11.0,37.0,,3.0,5.0,2.0,2.0,,2.0,2.0,2003
